Unnamed: 0_level_0,pls 74  12012022,pls 71 a 12012022,pls 106 13012022,pls 104 13012022,pls 102 13012022,pls 100 13012022,pls 103 14012022,pls 101 REP 14012022,pls 75 13012022,pls 84  12012022,pls 107 a 12012022,pls 109 13012022,pls 113 13012022,pls 108 13012022,pls 110 13012022,pls 112 13012022,pls 116  12012022,pls 121 a 12012022,pls 118 a 12012022,pls 119 13012022,pls 115 13012022,pls 89 14012022,pls 120 13012022,pls 88 13012022,pls 129  12012022,pls 127 a 12012022,pls 70 a 12012022,pls 97 13012022,pls 123 13012022,pls 96a 14012022,pls 128 rep 14012022,pls 126 14012022,pls 124 14012022,pls 125 13012022,LPS934 150124,LPS935 150124,LPS936 150124,LPS937 150124,LPS938 150124,LPS939 150124,LPS940 150124,LPS941 150124,LPS942 150124,LPS943 150124,LPS944 160124,LPS945 160124,LPS946 160124,LPS947 160124,LPS948 160124,LPS949 160124,LPS950 160124,LPS951 160124,LPS952 160124,LPS953 160124,LPS954 160124,LPS955 160124,LPS956 160124,LPS957 160124,LPS958 160124,LPS959 160124,LPS960 160124,LPS961 160124,LPS962 160124,LPS963 160124,VECPAC 3307 290124,VECPAC 3319 290124,VECPAC 3329 290124,VECPAC 3336 290124,VECPAC 3337 290124,VECPAC 3354 290124,VECPAC 3371 290124,VECPAC3302 260124,VECPAC3353 260124,VECPAC3369 260124,VECPAC3673 250124,VECPAC3674 250124,VECPAC3675 250124,VECPAC3677 250124,VECPAC3678 250124,VECPAC3679 250124,VECPAC3680 250124,VECPAC3681 250124,VECPAC3687 260124,VECPAC3688 260124,VECPAC3697 260124,VECPAC 3347 290124,VECPAC 3352 290124,VECPAC 3355 290124,VECPAC 3664 290124,VECPAC 3665 290124,VECPAC 3689 290124,VECPAC3296 300124,VECPAC3303 300124,VECPAC3304 300124,VECPAC3306 300124,VECPAC3318 300124,VECPAC3328 300124,VECPAC3330 300124,VECPAC3334 300124,VECPAC3356 300124,VECPAC3370 300124,DSS73 REP 190124,DSS76 REP 190124,DSS77 REP 190124,DSS896 180124,DSS897 180124,DSST0.5 180124,DSST0.6 180124,DSST0.7 180124,DSST0.8 180124,DSS107 190124,DSS901 190124,DSS902 190124,DSST1.5 190124,DSST1.6 190124,DSST1.7 190124,DSST1.8 190124,DSS85 230124,DSS87 230124,DSS90 230124,DSS117 REP 310124,DSS122 230124,DSS906 230124,DSS907 230124,DSST3.6 230124,DSST3.7 230124,DSST3.8 230124,DSS91 REP 310124,DSS94 250124,DSS95 250124,DSS125 250124,DSS126 250124,DSS127 250124,DSS129 250124,DSS911 REP 250124,DSS912 REP 250124,DSST5.5 REP 250124,DSST5.6 REP 250124,DSST5.7 REP 250124,DSST5.8 250124
Unnamed: 0_level_1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T1,T3,T3,T3,T3,T3,T3,T3,T3,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,LPS-CTR,"LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h","LPS-2,5h",LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,LPS-24h,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE-,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,VECPAC-CRE+,T0,T0,T0,T0,T0,T0,T0,T0,T0,T1,T1,T1,T1,T1,T1,T1,T3,T3,T3,T3,T3,T3,T3,T3,T3,T3,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5,T5
NAME,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",13.204802479853797,14.060887100665703,18.05899936741766,NaN,16.367402578877858,16.215541400842728,15.77451070272057,16.13262003259757,10.493960484343566,6.573452605488226,NaN,10.755415230145433,9.163548869099792,19.397724062059265,17.815160283078043,15.895446410680577,14.89987667050003,NaN,NaN,NaN,15.062105679457824,NaN,7.8113961271223715,11.895957728008133,NaN,NaN,11.804192476807668,NaN,15.253639353335721,NaN,NaN,NaN,13.49415205054083,NaN,9.826989148938228,NaN,NaN,9.749749445679637,NaN,10.561754893689594,10.33595493783068,5.773197004026674,NaN,NaN,NaN,NaN,NaN,NaN,10.13341973017377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.963265144319635,19.49831002632055,19.126717404870323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.260718949995255,19.160238078707113,19.434436171321853,20.252560034627503,NaN,NaN,NaN,NaN,NaN,NaN,18.258605403763795,18.424367711286795,18.553006774511164,17.78390467074889,18.727598234104924,16.13262003259757,14.736990480874836,NaN,NaN,NaN,NaN,NaN,NaN
(6S)-5-Methyltetrahydrofolic acid,NaN,NaN,NaN,NaN,NaN,3.448221407861535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8167078477348904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0864649338324477,NaN,NaN,NaN,NaN,NaN,1.375894658858111,NaN,NaN,NaN,NaN,NaN,10.13341973017377,NaN,NaN,11.895957728008133,10.755415230145433,NaN,NaN,NaN,11.43979463777961,NaN,10.416584489221341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.05493385099462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.383376025917171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.66926513088798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.33595493783068,NaN,3.3490662363322508,NaN,NaN,NaN,NaN,NaN,NaN
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",8.594183299485017,8.594183299485017,11.351200126999805,8.839865140440557,11.105510696901947,12.5922416062041,9.975894450001904,8.344214426192147,8.705309933970405,6.311788170744872,NaN,7.383376025917171,NaN,8.594183299485017,5.598864822027976,13.303012620849046,7.5298746103136835,4.649744536582553,8.217603493579656,7.233259566240669,9.44694163470083,9.826989148938228,5.979428093569865,10.69240434199323,8.594183299485017,NaN,6.433408905729319,3.7247490967362604,9.975894450001904,7.96672809984242,6.573452605488226,3.448221407861535,7.5298746103136835,7.383376025917171,NaN,NaN,NaN,NaN,NaN,14.950724312235941,NaN,15.062105679457824,NaN,14.950724312235941,NaN,15.003233768504735,NaN,NaN,NaN,NaN,NaN,NaN,4.2806949740387905,15.611962469889445,NaN,15.434108325797268,14.588839863286216,15.52172681792488,15.003233768504735,16.475847776374543,16.253616062713444,15.215042670142742,15.169885611303295,15.52172681792488,16.81359539151657,17.522953018989853,15.975300786737833,17.404762699626442,15.938583466799596,16.13262003259757,15.77451070272057,16.55072880297253,15.434108325797268,17.260718949995255,15.304988766982856,16.054392115645037,15.253639353335721,15.122979261923312,15.304988766982856,NaN,16.294784534032082,15.479261554158796,14.68731845333075,15.253639353335721,16.253616062713444,15.215042670142742,14.89987667050003,14.208508559805846,15.895446410680577,15.975300786737833,16.215541400842728,15.304988766982856,15.654223002134046,15.122979261923312,15.77451070272057,16.017487775828236,16.403745889150546,13.49415205054083,16.513980822270014,NaN,12.953837675907485,14.060887100665703,12.058002609923262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.974882092111649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.49415205054083,NaN,NaN,13.043092290348532,NaN,11.517109952152083,10.493960484343566,NaN,NaN,NaN,NaN,NaN,NaN
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.11100543999637,25.46514252694942,25.11100543999637,25.11100543999637,25.46514252694942,25.55218927673239,25.191679340168577,24.765500750094354,25.11100543999637,25.383102769329895,25.55218927673239,24.85391119558812,25.383102769329895,25.46514252694942,25.64429911241584,25.55218927673239,25.46514252694942,24.46289028297329,25.034934211294985,25.55218927673239,25.64429911241584,25.55218927673239,25.11100543999637,25.46514252694942,24.30708903494744,25.11100543999637,25.55218927673239,24.765500750094354,25.55218927673239,24.938359728783716,24.614538621651164,24.938359728783716,25.11100543999637,24.46289028297329,26.992549888324127,26.507629726788302,27.368127651642506,NaN,26.992549888324127,27.246261469412755,26.877941781106227,27.246261469412755,27.368127651642506,26.287621218694568,26.760053303873804,24.614538621651164,27.246261469412755,27.114100628928725,26.992549888324127,27.246261469412755,26.877941781106227,26.992549888324127,26.391715150467068,26.760053303873804,26.992549888324127,27.855566358610496,26.877941781106227,27.49085474733063,27.368127651642506,27.855566358610496,27.855566358610496,27.855566358610496,27.60667415234614,27.368127651642506,27.246261469412755,27.969216222179643,27.735978632920308,27.60667415234614,27.855566358610496,27.855566358610496,27.246261469412755,27.368127651642506,26.992549888324127,27.60667415234614,26.992549888324127,26.760053303873804,27.855566358610496,27.246261469412755,27.114100628928725,27.60667415234614,28.088815830785673,27.114100628928725,27.114100628928725,27.49085474733063,27.114100628928725,27.735978632920308,27.246261469412755,27.114100628928725,27.49085474733063,27.49085474733063,27.60667415234614,27.49085474733063,27.735978632920308,26.992549888324127,27.114100628928725,27.49085474733063,27.114100628928725,26.877941781106227,27.855566358610496,26.877941781106227,26.287621218694568,24.232043212159,25.11100543999637,NaN,26.391715150467068,27.114100628928725,27.368127651642506,26.507629726788302,26.391715150467068,25.957634503470494,25.11100543999637,26.391715150467068,26.760053303873804,26.391715150467068,25.957634503470494,26.877941781106227,25.741355044964873,25.64429911241584,24.85391119558812,24.537126095160744,24.46289028297329,25.64429911241584,26.391715150467068,26.391715150467068,26.877941781106227,26.391715150467068,26.391715150467068,24.092374043338083,24.765500750094354,25.034934211294985,24.690827413955606,24.690827413955606,23.95630470933661,24.012693359928875,26.62940831944854,27.246261469412755,26.760053303873804,26.760053303873804,26.391715150467068,25.957634503470494
(CH3)2C=NC2H558,16.294784534032082,16.403745889150546,16.367402578877858,16.403745889150546,17.223508435554717,17.404762699626442,16.972405459115336,16.092210075488843,16.475847776374543,15.861801681400857,16.054392115645037,15.975300786737833,16.054392115645037,16.403745889150546,16.55072880297253,17.522953018989853,NaN,14.466944255940387,15.814996761677646,16.44195139604374,15.77451070272057,16.13262003259757,15.975300786737833,16.62553526691028,14.588839863286216,15.52172681792488,15.814996761677646,15.122979261923312,16.253616062713444,15.062105679457824,15.52172681792488,14.532569743447405,16.33331926838109,15.169885611303295,18.896537016381107,18.795014917694424,18.86158765681636,18.994123142876553,18.963265144319635,18.589644323470754,18.553006774511164,18.658998875246564,18.994123142876553,18.727598234104924,18.761605023438435,18.86158765681636,18.86158765681636,18.994123142876553,18.761605023438435,18.761605023438435,18.622170744033415,19.29985654256866,18.589644323470754,18.658998875246564,18.687616783896345,18.994123142876553,18.727598234104924,18.622170744033415,18.761605023438435,18.86158765681636,18.795014917694424,18.52083256380398,18.622170744033415,18.86158765681636,19.261204403407167,19.73350380143754,19.29985654256866,19.70193387560983,19.363813402452735,18.826836898539522,18.826836898539522,19.160238078707113,19.05920192248818,19.330167551198027,18.795014917694424,19.160238078707113,18.761605023438435,18.360881511713433,18.727598234104924,19.191472809606147,19.160238078707113,18.761605023438435,18.52083256380398,19.228040595242685,18.86158765681636,19.261204403407167,18.896537016381107,18.687616783896345,18.553006774511164,19.29985654256866,18.553006774511164,18.622170744033415,19.466999569632065,18.994123142876553,18.46039177415243,19.126717404870323,18.658998875246564,18.553006774511164,19.363813402452735,18.658998875246564,18.2285859057309,16.13262003259757,16.403745889150546,16.81359539151657,18.589644323470754,18.896537016381107,18.896537016381107,18.360881511713433,18.589644323470754,18.291502392835746,17.186481991369174,18.929190614745664,19.191472809606147,18.658998875246564,18.396012043834787,18.396012043834787,18.46039177415243,17.223508435554717,17.116452972412198,16.661446500309406,16.696394356109224,17.364590249886664,18.023895826383765,18.896537016381107,18.658998875246564,18.994123142876553,18.424367711286795,16.513980822270014,17.045215614636067,17.443779351848434,16.894778830123844,17.404762699626442,16.166726318448305,15.814996761677646,18.994123142876553,18.826836898539522,18.795014917694424,18.826836898539522,18.553006774511164,18.2285859057309
(pm)-alpha-Tocopherol acetate,7.233259566240669,8.705309933970405,9.749749445679637,5.02782077948425,7.96672809984242,11.291864885008449,8.103163384872953,6.1530186905105175,9.525955497873493,3.294312168588426,4.2806949740387905,NaN,NaN,7.8113961271223715,9.364198372605081,10.873158791820542,5.598864822027976,3.0864649338324477,8.47465478641074,4.649744536582553,5.598864822027976,NaN,9.749749445679637,10.755415230145433,3.116309396581273,5.39959104562734,3.294312168588426,2.612321825372898,7.665059719556676,7.5298746103136835,NaN,1.5848681213775317,3.6284952917939375,3.5548311706342326,NaN,3.6284952917939375,NaN,NaN,NaN,NaN,NaN,4.52205962326899,NaN,NaN,NaN,3.9415118097609083,7.0807714566945155,NaN,NaN,3.7247490967362604,NaN,NaN,NaN,6.573452605488226,NaN,NaN,NaN,NaN,NaN,5.773197004026674,NaN,NaN,5.773197004026674,NaN,NaN,NaN,5.39959104562734,9.163548869099792,NaN,NaN,5.02782077948425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9415118097609083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.19564851714522,14.1503717925765,15.654223002134046,NaN,14.842143182536182,NaN,NaN,NaN,NaN,9.254743610412506,NaN,NaN,NaN,NaN,NaN,NaN,15.38813245611064,16.93341414978592,NaN,NaN,NaN,16.81359539151657,17.14953303640925,NaN,NaN,NaN,15.38813245611064,NaN,15.895446410680577,15.568775762115319,16.62553526691028,10.33595493783068,15.77451070272057,19.434436171321853,NaN,NaN,16.017487775828236,NaN,14.402006672932645
(pm)-N-Propylamphetamine,NaN,NaN,NaN,17.078774839460994,22.54371823688108,22.7581877783642,NaN,NaN,21.203783958156674,NaN,19.70193387560983,NaN,18.291502392835746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.995487302037592,20.995487302037592,NaN,NaN,21.615322667881024,NaN,NaN,20.04779836421476,NaN,NaN,NaN,19.946340963125515,20.597634017549996,NaN,20.597634017549996,20.453821656872396,NaN,NaN,20.151316438783468,NaN,20.757624219845212,20.957354149126097,NaN,21.03615441628,21.118189275147675,NaN,NaN,21.42695555619607,NaN,NaN,21.475302381792005,NaN,NaN,21.03615441628,NaN,20.358453827106576,NaN,NaN,NaN,NaN,NaN,21.525786691263573,21.158814952450467,20.91211401018567,21.158814952450467,21.893746775405834,NaN,21.28917036451266,21.382551316490815,NaN,20.757624219845212,21.42695555619607,20.7955138637401,20.422710135058562,NaN,21.660218087288506,NaN,21.28917036451266,NaN,21.158814952450467,21.03615441628,20.87123443192514,21.42695555619607,20.67514080990835,21.073193919542305,NaN,20.04779836421476,20.358453827106576,21.249005677815184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.847458675587028,NaN,NaN,NaN,NaN,20.422710135058562,19.946340963125515,NaN,NaN,NaN,NaN,NaN,NaN
(pm)-Norketamine,28.655971736748846,27.855566358610496,27.60667415234614,27.735978632920308,27.735978632920308,28.197391788302355,27.114100628928725,27.246261469412755,28.32909802691644,27.969216222179643,28.197391788302355,28.451387663751138,29.23493423105025,28.088815830785673,28.32909802691644,28.551662681193147,27.969216222179643,28.088815830785673,27.855566358610496,28.197391788302355,28.551662681193147,28.32909802691644,28.197391788302355,28.451387663751138,28.655971736748846,27.969216222179643,27.969216222179643,27.969216222179643,27.114100628928725,27.855566358610496,28.655971736748846,27.969216222179643,27.735978632920308,27.855566358610496,31.099556765616242,30.563592315592594,29.498331745050354,30.563592315592594,31.099556765616242,30.563592315592594,30.325131497340156,30.325131497340156,31.099556765616242,30.82628498433471,30.82628498433471,30.82628498433471,30.563592315592594,31.099556765616242,31.099556765616242,30.82628498433471,30.563592315592594,30.82628498433471,30.563592315592594,30.563592315592594,30.82628498433471,31.099556765616242,30.563592315592594,30.325131497340156,30.13469393442059,30.563592315592594,30.82628498433471,30.563592315592594,29.77470032578437,29.940902686388036,31.099556765616242,NaN,31.099556765616242,NaN,NaN,29.940902686388036,30.82628498433471,30.82628498433471,30.82628498433471,31.459090449156182,31.099556765616242,31.459090449156182,31.099556765616242,30.82628498433471,31.099556765616242,31.099556765616242,31.099556765616242,30.13469393442059,31.459090449156182,31.918320830075533,30.82628498433471,31.099556765616242,30.325131497340156,29.77470032578437,31.099556765616242,30.13469393442059,30.563592315592594,30.13469393442059,31.918320830075533,31.459090449156182,29.940902686388036,NaN,29.23493423105025,31.459090449156182,NaN,31.918320830075533,30.82628498433471,27.49085474733063,28.551662681193147,28.088815830785673,27.49085474733063,27.969216222179643,27.969216222179643,28.451387663751138,28.088815830785673,28.32909802691644,27.60667415234614,28.551662681193147,28.77196296363747,28.551662681193147,27.855566358610496,20.717649578281822,28.088815830785673,28.197391788302355,27.855566358610496,27.60667415234614,27.114100628928725,27.246261469412755,27.49085474733063,29.23493423105025,28.896112584953354,29.11772666836811,28.655971736748846,27.246261469412755,26.992549888324127,27.49085474733063,27.368127651642506,26.992549888324127,26.62940831944854,27.735978632920308,28.896112584953354,28.551662681193147,28.896112584953354,29.11772666836811,28.896112584953354,29.23493423105025
